,epoch,train_loss,train_acc
0,0,7.071765422821045,"(0.021888889372348785, 0.02449544866004937, 0.019282330084648202)"
1,1,6.073030471801758,"(0.022555556148290634, 0.025200609640891672, 0.019910502655689596)"
2,2,6.073030471801758,"(0.023055555298924446, 0.02572908107516236, 0.020382029522686532)"
3,3,6.073030471801758,"(0.023277778178453445, 0.02596385200710798, 0.02059170434979891)"
4,4,6.073030471801758,"(0.023277778178453445, 0.02596385200710798, 0.02059170434979891)"
5,5,6.073030471801758,"(0.023277778178453445, 0.02596385200710798, 0.02059170434979891)"
6,6,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
7,7,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
8,8,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
9,9,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
10,10,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
11,11,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
12,12,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
13,13,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
14,14,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
15,15,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
16,16,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
17,17,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
18,18,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
19,19,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
20,20,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
21,21,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
22,22,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
23,23,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
24,24,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
25,25,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
26,26,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
27,27,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
28,28,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
29,29,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
30,30,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
31,31,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
32,32,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
33,33,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
34,34,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
35,35,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
36,36,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
37,37,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
38,38,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
39,39,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
40,40,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
41,41,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
42,42,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
43,43,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
44,44,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
45,45,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
46,46,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
47,47,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
48,48,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
49,49,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
50,50,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
51,51,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
52,52,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
53,53,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
54,54,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
55,55,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
56,56,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
57,57,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
58,58,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
59,59,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
60,60,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
61,61,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
62,62,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
63,63,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
64,64,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
